Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1990,1990,kg/ha,5677.3,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1991,1991,kg/ha,5036.1,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1992,1992,kg/ha,4038.8,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1993,1993,kg/ha,2656.6,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1994,1994,kg/ha,3633.3,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1995,1995,kg/ha,4123.7,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1996,1996,kg/ha,5577.2,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1997,1997,kg/ha,3660.1,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1998,1998,kg/ha,2283.3,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,1999,1999,kg/ha,4873.3,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2000,2000,kg/ha,4192.7,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2001,2001,kg/ha,4832.1,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2002,2002,kg/ha,4202.2,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2003,2003,kg/ha,4659.6,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2004,2004,kg/ha,4819.2,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2005,2005,kg/ha,4758.7,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2006,2006,kg/ha,5059.2,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2007,2007,kg/ha,4157.4,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2008,2008,kg/ha,3998.5,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2009,2009,kg/ha,4330.5,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2010,2010,kg/ha,5260.5,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2011,2011,kg/ha,4159.5,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2012,2012,kg/ha,4689.5,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2013,2013,kg/ha,4611.3,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2014,2014,kg/ha,4573.1,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2015,2015,kg/ha,5222.7,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2016,2016,kg/ha,4422.9,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2017,2017,kg/ha,4855.9,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2018,2018,kg/ha,4486.4,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2019,2019,kg/ha,4923.7,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2020,2020,kg/ha,4857.9,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2021,2021,kg/ha,5567.0,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2022,2022,kg/ha,5139.7,A,
174,'620,Portugal,560,'01330,Grapes,5412,Yield,2023,2023,kg/ha,5686.5,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1990,1990,kg/ha,11159.9,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1991,1991,kg/ha,12651.3,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1992,1992,kg/ha,14326.0,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1993,1993,kg/ha,13942.0,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1994,1994,kg/ha,14495.0,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1995,1995,kg/ha,14846.2,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1996,1996,kg/ha,14580.7,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1997,1997,kg/ha,12394.9,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1998,1998,kg/ha,13755.1,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,1999,1999,kg/ha,15648.2,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2000,2000,kg/ha,13819.6,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2001,2001,kg/ha,14972.5,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2002,2002,kg/ha,16164.2,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2003,2003,kg/ha,16081.0,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2004,2004,kg/ha,16993.5,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2005,2005,kg/ha,14728.2,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2006,2006,kg/ha,16105.9,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2007,2007,kg/ha,16768.5,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2008,2008,kg/ha,15751.9,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2009,2009,kg/ha,16443.1,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2010,2010,kg/ha,15034.1,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2011,2011,kg/ha,14708.8,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2012,2012,kg/ha,17789.0,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2013,2013,kg/ha,18224.3,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2014,2014,kg/ha,19838.0,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2015,2015,kg/ha,19770.5,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2016,2016,kg/ha,19361.3,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2017,2017,kg/ha,21699.2,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2018,2018,kg/ha,20754.3,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2019,2019,kg/ha,23584.8,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2020,2020,kg/ha,23367.9,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2021,2021,kg/ha,24602.4,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2022,2022,kg/ha,22042.0,A,
174,'620,Portugal,116,'01510,Potatoes,5412,Yield,2023,2023,kg/ha,22450.3,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1990,1990,kg/ha,1426.9,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1991,1991,kg/ha,2098.2,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1992,1992,kg/ha,1291.4,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1993,1993,kg/ha,1686.1,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1994,1994,kg/ha,1966.7,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1995,1995,kg/ha,1387.2,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1996,1996,kg/ha,1713.9,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1997,1997,kg/ha,1190.5,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1998,1998,kg/ha,1015.1,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,1999,1999,kg/ha,1598.6,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2000,2000,kg/ha,1567.8,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2001,2001,kg/ha,837.1,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2002,2002,kg/ha,1790.4,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2003,2003,kg/ha,858.1,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2004,2004,kg/ha,1562.5,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2005,2005,kg/ha,664.4,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2006,2006,kg/ha,2384.7,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2007,2007,kg/ha,1863.0,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2008,2008,kg/ha,2302.8,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2009,2009,kg/ha,1700.8,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2010,2010,kg/ha,1430.5,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2011,2011,kg/ha,1200.2,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2012,2012,kg/ha,1076.6,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2013,2013,kg/ha,1763.5,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2014,2014,kg/ha,2065.7,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2015,2015,kg/ha,2023.2,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2016,2016,kg/ha,2356.5,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2017,2017,kg/ha,2054.2,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2018,2018,kg/ha,2593.8,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2019,2019,kg/ha,2701.4,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2020,2020,kg/ha,2770.4,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2021,2021,kg/ha,2422.9,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2022,2022,kg/ha,1994.2,A,
174,'620,Portugal,15,'0111,Wheat,5412,Yield,2023,2023,kg/ha,1401.4,A,
